,feature,dtype,dtype2,distinct_count,na_count,na_perc
0,ultimo_ivr_departamento,object,cat,7,0,0.0
1,ultima_categoria_open_question,object,cat,43,0,0.0
2,ultima_subcategoria_open_question,object,cat,187,0,0.0
3,grupo_acd,object,cat,32,0,0.0
4,total_segundos_espera,float64,cont,2523,0,0.0
5,total_segundos_conversacion,int64,cont,1336,0,0.0
6,transferencia,bool,cat,2,0,0.0
7,agentes_involucrados,int64,cont,4,0,0.0
8,es_rellamada_1h,bool,cat,2,0,0.0
9,es_rellamada_24h,bool,cat,2,0,0.0
10,es_rellamada_48h,bool,cat,2,0,0.0
11,es_rellamada_72h,bool,cat,2,0,0.0
12,es_rellamada_agente_1h,bool,cat,2,0,0.0
13,es_rellamada_agente_24h,bool,cat,2,0,0.0
14,es_rellamada_agente_48h,bool,cat,2,0,0.0
15,es_rellamada_agente_72h,bool,cat,2,0,0.0
16,ranking,int64,cont,25,0,0.0
17,billing_type_ds,object,cat,2,0,0.0
18,tariff_ds,object,cat,128,0,0.0
19,service_type,object,cat,2,0,0.0
20,line_type_ds,object,cat,4,0,0.0
21,activation_reason_ds,object,cat,4,0,0.0
22,deactivation_reason_ds,object,cat,13,0,0.0
23,technology_ds,object,cat,3,0,0.0
24,technology_speed_ds,object,cat,8,0,0.0
25,channel_ds,object,cat,17,0,0.0
26,account_bundle_TYPE,object,cat,3,0,0.0
27,bundle_summary,bool,cat,2,0,0.0
28,LLAMADA_RETEN_1h,object,cat,2,0,0.0
29,LLAMADA_RETEN_24h,object,cat,2,0,0.0
30,LLAMADA_RETEN_48h,object,cat,2,0,0.0
31,llamada_reten_3D,object,cat,2,0,0.0
32,llamada_reten_4D,object,cat,2,0,0.0
33,llamada_reten_5D,object,cat,2,0,0.0
34,llamada_reten_6D,object,cat,2,0,0.0
35,llamada_reten_7D,object,cat,2,0,0.0
36,times_retention,object,cat,11,0,0.0
37,zip_code,object,cat,5577,0,0.0
38,locality_area,object,cat,5554,0,0.0
39,province,object,cat,53,0,0.0
40,port_in_operator_ds,object,cat,90,0,0.0
41,outcome_baja,object,cat,2,0,0.0
42,client_segment,int64,cont,17,0,0.0
43,bpo,int64,cont,3,0,0.0
44,tariff_ds_has_fibra,bool,cat,2,0,0.0
45,tariff_ds_fibra_quota,float64,cont,9,0,0.0
46,ultimo_ivr_departamento_clustered_2,int64,cat,2,0,0.0
47,ultimo_ivr_departamento_clustered_5,int64,cat,5,0,0.0
48,ultima_categoria_open_question_clustered_2,int64,cat,2,0,0.0
49,ultima_categoria_open_question_clustered_5,int64,cat,5,0,0.0
50,ultima_categoria_open_question_clustered_8,int64,cat,8,0,0.0
51,ultima_categoria_open_question_clustered_11,int64,cat,11,0,0.0
52,ultima_subcategoria_open_question_clustered_2,int64,cat,2,0,0.0
53,ultima_subcategoria_open_question_clustered_5,int64,cat,5,0,0.0
54,ultima_subcategoria_open_question_clustered_8,int64,cat,8,0,0.0
55,ultima_subcategoria_open_question_clustered_11,int64,cat,11,0,0.0
56,grupo_acd_clustered_2,int64,cat,2,0,0.0
57,grupo_acd_clustered_5,int64,cat,5,0,0.0
58,grupo_acd_clustered_8,int64,cat,8,0,0.0
59,grupo_acd_clustered_11,int64,cat,11,0,0.0
60,tariff_ds_clustered_2,int64,cat,2,0,0.0
61,tariff_ds_clustered_5,int64,cat,5,0,0.0
62,tariff_ds_clustered_8,int64,cat,8,0,0.0
63,tariff_ds_clustered_11,int64,cat,11,0,0.0
64,line_type_ds_clustered_2,int64,cat,2,0,0.0
65,activation_reason_ds_clustered_2,int64,cat,2,0,0.0
66,deactivation_reason_ds_clustered_2,int64,cat,2,0,0.0
67,deactivation_reason_ds_clustered_5,int64,cat,5,0,0.0
68,deactivation_reason_ds_clustered_8,int64,cat,8,0,0.0
69,deactivation_reason_ds_clustered_9,int64,cat,9,0,0.0
70,technology_ds_clustered_2,int64,cat,2,0,0.0
71,technology_speed_ds_clustered_2,int64,cat,2,0,0.0
72,technology_speed_ds_clustered_5,int64,cat,5,0,0.0
73,channel_ds_clustered_2,int64,cat,2,0,0.0
74,channel_ds_clustered_5,int64,cat,5,0,0.0
75,channel_ds_clustered_8,int64,cat,8,0,0.0
76,channel_ds_clustered_11,int64,cat,11,0,0.0
77,account_bundle_TYPE_clustered_2,int64,cat,2,0,0.0
78,times_retention_clustered_2,int64,cat,2,0,0.0
79,times_retention_clustered_5,int64,cat,5,0,0.0
80,times_retention_clustered_8,int64,cat,8,0,0.0
81,zip_code_clustered_2,int64,cat,2,0,0.0
82,zip_code_clustered_5,int64,cat,5,0,0.0
83,zip_code_clustered_8,int64,cat,8,0,0.0
84,zip_code_clustered_11,int64,cat,11,0,0.0
85,locality_area_clustered_2,int64,cat,2,0,0.0
86,locality_area_clustered_5,int64,cat,5,0,0.0
87,locality_area_clustered_8,int64,cat,8,0,0.0
88,locality_area_clustered_11,int64,cat,11,0,0.0
89,province_clustered_2,int64,cat,2,0,0.0
90,province_clustered_5,int64,cat,5,0,0.0
91,province_clustered_8,int64,cat,8,0,0.0
92,province_clustered_11,int64,cat,11,0,0.0
93,port_in_operator_ds_clustered_2,int64,cat,2,0,0.0
94,port_in_operator_ds_clustered_5,int64,cat,5,0,0.0
95,port_in_operator_ds_clustered_8,int64,cat,8,0,0.0
96,port_in_operator_ds_clustered_11,int64,cat,11,0,0.0
97,client_segment_clustered_2,int64,cat,2,0,0.0
98,client_segment_clustered_5,int64,cat,5,0,0.0
99,client_segment_clustered_8,int64,cat,8,0,0.0
100,client_segment_clustered_11,int64,cat,11,0,0.0
101,bpo_clustered_2,int64,cat,2,0,0.0
102,total_segundos_espera_transformed,int64,cat,2,0,0.0
103,total_segundos_conversacion_transformed,int64,cat,2,0,0.0
104,ranking_transformed,int64,cat,2,0,0.0
105,tariff_ds_fibra_quota_transformed,int64,cat,2,0,0.0
